No.,Position-X,Position-Y,GESAMTB,3450_BIN,3450
1,1,1,1,0,1
2,2,1,1,0,1
3,3,1,1,0,1
4,4,1,1,0,1
5,5,1,1,0,1
6,6,1,1,0,1
7,7,1,1,0,1
8,8,1,1,0,1
9,9,1,1,0,1
10,10,1,1,0,1
11,11,1,1,0,1
12,12,1,1,0,1
13,13,1,1,0,1
14,14,1,1,0,1
15,15,1,1,0,1
16,16,1,1,0,1
17,17,1,1,0,1
18,18,1,0,PREVIOUS FAILED,PREVIOUS FAILED
19,19,1,1,0,1
20,20,1,1,0,1
21,21,1,1,0,1
22,22,1,1,0,1
23,23,1,1,0,1
24,24,1,1,0,1
25,25,1,1,0,1
26,26,1,1,0,1
27,27,1,1,0,1
28,28,1,1,0,1
29,29,1,1,0,1
30,30,1,1,0,1
31,31,1,1,0,1
32,32,1,1,0,1
33,33,1,1,0,1
34,34,1,1,0,1
35,35,1,1,0,1
36,36,1,1,0,1
37,37,1,1,0,1
38,38,1,1,0,1
39,39,1,1,0,1
40,40,1,1,0,1
41,41,1,1,0,1
42,42,1,1,0,1
43,43,1,1,0,1
44,44,1,1,0,1
45,45,1,1,0,1
46,46,1,1,0,1
47,47,1,1,0,1
48,48,1,1,0,1
49,49,1,1,0,1
50,50,1,0,PREVIOUS FAILED,PREVIOUS FAILED
51,51,1,1,0,1
52,52,1,1,0,1
53,53,1,1,0,1
54,54,1,1,0,1
55,55,1,1,0,1
56,56,1,1,0,1
57,57,1,0,PREVIOUS FAILED,PREVIOUS FAILED
58,58,1,0,PREVIOUS FAILED,PREVIOUS FAILED
59,59,1,0,PREVIOUS FAILED,PREVIOUS FAILED
60,60,1,0,PREVIOUS FAILED,PREVIOUS FAILED
61,61,1,1,0,1
62,62,1,1,0,1
63,1,2,1,0,1
64,2,2,1,0,1
65,3,2,1,0,1
66,4,2,0,PREVIOUS FAILED,PREVIOUS FAILED
67,5,2,1,0,1
68,6,2,1,0,1
69,7,2,1,0,1
70,8,2,1,0,1
71,9,2,1,0,1
72,10,2,1,0,1
73,11,2,1,0,1
74,12,2,1,0,1
75,13,2,1,0,1
76,14,2,1,0,1
77,15,2,1,0,1
78,16,2,1,0,1
79,17,2,1,0,1
80,18,2,1,0,1
81,19,2,1,0,1
82,20,2,1,0,1
83,21,2,1,0,1
84,22,2,1,0,1
85,23,2,1,0,1
86,24,2,1,0,1
87,25,2,1,0,1
88,26,2,1,0,1
89,27,2,1,0,1
90,28,2,1,0,1
91,29,2,1,0,1
92,30,2,0,PREVIOUS FAILED,PREVIOUS FAILED
93,31,2,1,0,1
94,32,2,1,0,1
95,33,2,0,18,0
96,34,2,1,0,1
97,35,2,1,0,1
98,36,2,1,0,1
99,37,2,1,0,1
100,38,2,1,0,1
101,39,2,1,0,1
102,40,2,1,0,1
103,41,2,1,0,1
104,42,2,1,0,1
105,43,2,1,0,1
106,44,2,1,0,1
107,45,2,1,0,1
108,46,2,1,0,1
109,47,2,1,0,1
110,48,2,1,0,1
111,49,2,1,0,1
112,50,2,0,PREVIOUS FAILED,PREVIOUS FAILED
113,51,2,1,0,1
114,52,2,1,0,1
115,53,2,1,0,1
116,54,2,1,0,1
117,55,2,1,0,1
118,56,2,1,0,1
119,57,2,0,PREVIOUS FAILED,PREVIOUS FAILED
120,58,2,0,PREVIOUS FAILED,PREVIOUS FAILED
121,59,2,0,PREVIOUS FAILED,PREVIOUS FAILED
122,60,2,0,PREVIOUS FAILED,PREVIOUS FAILED
123,61,2,1,0,1
124,62,2,1,0,1
125,1,3,1,0,1
126,2,3,1,0,1
127,3,3,0,PREVIOUS FAILED,PREVIOUS FAILED
128,4,3,1,0,1
129,5,3,1,0,1
130,6,3,1,0,1
131,7,3,1,0,1
132,8,3,1,0,1
133,9,3,1,0,1
134,10,3,1,0,1
135,11,3,1,0,1
136,12,3,1,0,1
137,13,3,1,0,1
138,14,3,1,0,1
139,15,3,1,0,1
140,16,3,1,0,1
141,17,3,1,0,1
142,18,3,1,0,1
143,19,3,1,0,1
144,20,3,1,0,1
145,21,3,1,0,1
146,22,3,1,0,1
